 drp	    450.09	  DATA	13000	1000
rdrp	    450.18	   ACK	15000	0
 drp	    450.28	  DATA	14000	1000
 snd	    450.36	   ACK	15000	0
fdrp	    450.48	  DATA	 8000	1000
 drp	    450.63	  DATA	 9000	1000
rdrp	    450.72	   ACK	15000	0
fdrp	    450.87	  DATA	10000	1000
fdrp	    451.61	  DATA	11000	1000
 drp	    451.74	  DATA	12000	1000
 snd	    451.82	   ACK	15000	0
 drp	    452.01	  DATA	13000	1000
 snd	    452.11	   ACK	15000	0
 drp	    452.32	  DATA	14000	1000
rdrp	    452.41	   ACK	15000	0
fdrp	    452.55	  DATA	 8000	1000
fdrp	    452.66	  DATA	 9000	1000
 drp	    452.77	  DATA	 8000	1000
 snd	    452.88	   ACK	15000	0
fdrp	    453.01	  DATA	15000	1000
 rcv	    453.21	  DATA	16000	1000
 snd	    453.29	   ACK	15000	0
 rcv	    453.39	  DATA	17000	1000
rdrp	    453.47	   ACK	15000	0
 rcv	    453.58	  DATA	18000	1000
rdrp	    453.78	   ACK	15000	0
 rcv	    454.00	  DATA	19000	1000
 snd	    454.20	   ACK	15000	0
 rcv	    454.27	  DATA	20000	1000
rdrp	    454.32	   ACK	15000	0
fdrp	    454.37	  DATA	21000	1000
fdrp	    454.41	  DATA	15000	1000
 drp	    454.47	  DATA	16000	1000
rdrp	    454.51	   ACK	15000	0
 drp	    454.55	  DATA	17000	1000
 snd	    454.60	   ACK	15000	0
 drp	    454.65	  DATA	18000	1000
rdrp	    454.69	   ACK	15000	0
fdrp	    454.74	  DATA	19000	1000
 drp	    454.79	  DATA	20000	1000
 snd	    454.83	   ACK	15000	0
fdrp	    454.89	  DATA	21000	1000
 rcv	    454.93	  DATA	15000	1000
 snd	    454.98	   ACK	21000	0
 drp	    455.03	  DATA	16000	1000
 snd	    455.07	   ACK	21000	0
fdrp	    455.11	  DATA	17000	1000
fdrp	    455.16	  DATA	18000	1000
 drp	    455.20	  DATA	19000	1000
 snd	    455.24	   ACK	21000	0
fdrp	    455.29	  DATA	15000	1000
 drp	    455.34	  DATA	16000	1000
 snd	    455.37	   ACK	21000	0
 drp	    455.42	  DATA	15000	1000
 snd	    455.47	   ACK	21000	0
 drp	    455.53	  DATA	16000	1000
rdrp	    455.57	   ACK	21000	0
fdrp	    455.62	  DATA	17000	1000
 drp	    455.66	  DATA	18000	1000
 snd	    455.70	   ACK	21000	0
fdrp	    455.75	  DATA	19000	1000
fdrp	    455.79	  DATA	15000	1000
fdrp	    455.83	  DATA	16000	1000
fdrp	    455.87	  DATA	17000	1000
 drp	    455.92	  DATA	18000	1000
rdrp	    455.96	   ACK	21000	0
fdrp	    456.00	  DATA	19000	1000
fdrp	    456.04	  DATA	20000	1000
fdrp	    456.09	  DATA	21000	1000
fdrp	    456.13	  DATA	15000	1000
 drp	    456.17	  DATA	16000	1000
 snd	    456.21	   ACK	21000	0
fdrp	    456.26	  DATA	17000	1000
 drp	    456.30	  DATA	18000	1000
rdrp	    456.34	   ACK	21000	0
fdrp	    456.39	  DATA	19000	1000
 drp	    456.43	  DATA	20000	1000
 snd	    456.46	   ACK	21000	0
 rcv	    456.52	  DATA	21000	1000
 snd	    456.55	   ACK	22000	0
 drp	    456.60	  DATA	15000	1000
rdrp	    456.64	   ACK	22000	0
 drp	    456.68	  DATA	16000	1000
 snd	    456.72	   ACK	22000	0
 drp	    456.77	  DATA	17000	1000
rdrp	    456.81	   ACK	22000	0
fdrp	    456.85	  DATA	18000	1000
fdrp	    457.06	  DATA	19000	1000
fdrp	    457.13	  DATA	20000	1000
fdrp	    457.18	  DATA	21000	1000
 drp	    457.22	  DATA	15000	1000
 snd	    457.27	   ACK	22000	0
fdrp	    457.32	  DATA	16000	1000
 drp	    457.36	  DATA	17000	1000
rdrp	    457.40	   ACK	22000	0
fdrp	    457.45	  DATA	18000	1000
fdrp	    457.50	  DATA	19000	1000
fdrp	    457.55	  DATA	20000	1000
fdrp	    457.60	  DATA	21000	1000
 drp	    457.65	  DATA	15000	1000
 snd	    457.68	   ACK	22000	0
 drp	    457.76	  DATA	16000	1000
rdrp	    457.83	   ACK	22000	0
fdrp	    457.88	  DATA	17000	1000
fdrp	    457.95	  DATA	18000	1000
fdrp	    458.01	  DATA	19000	1000
 drp	    458.06	  DATA	20000	1000
 snd	    458.09	   ACK	22000	0
 drp	    458.14	  DATA	21000	1000
 snd	    458.18	   ACK	22000	0
fdrp	    458.23	  DATA	15000	1000
 drp	    458.27	  DATA	16000	1000
 snd	    458.31	   ACK	22000	0
 drp	    458.35	  DATA	17000	1000
rdrp	    458.39	   ACK	22000	0
 drp	    458.43	  DATA	18000	1000
rdrp	    458.46	   ACK	22000	0
 drp	    458.50	  DATA	19000	1000
 snd	    458.54	   ACK	22000	0
 drp	    458.59	  DATA	20000	1000
rdrp	    458.63	   ACK	22000	0
 drp	    458.67	  DATA	21000	1000
rdrp	    458.70	   ACK	22000	0
 drp	    458.74	  DATA	15000	1000
rdrp	    458.78	   ACK	22000	0
fdrp	    458.81	  DATA	16000	1000
fdrp	    458.85	  DATA	17000	1000
fdrp	    458.90	  DATA	18000	1000
fdrp	    459.19	  DATA	19000	1000
 drp	    459.25	  DATA	20000	1000
rdrp	    459.30	   ACK	22000	0
 drp	    459.34	  DATA	21000	1000
rdrp	    459.38	   ACK	22000	0
 drp	    459.42	  DATA	15000	1000
rdrp	    459.46	   ACK	22000	0
fdrp	    459.49	  DATA	16000	1000
fdrp	    459.53	  DATA	17000	1000
 drp	    459.58	  DATA	18000	1000
 snd	    459.61	   ACK	22000	0
fdrp	    459.66	  DATA	19000	1000
fdrp	    459.70	  DATA	20000	1000
fdrp	    459.74	  DATA	21000	1000
 drp	    459.78	  DATA	15000	1000
rdrp	    459.82	   ACK	22000	0
 drp	    459.86	  DATA	16000	1000
rdrp	    459.89	   ACK	22000	0
fdrp	    459.95	  DATA	17000	1000
 drp	    460.00	  DATA	18000	1000
 snd	    460.03	   ACK	22000	0
fdrp	    460.07	  DATA	19000	1000
 drp	    460.11	  DATA	20000	1000
 snd	    460.15	   ACK	22000	0
 drp	    460.19	  DATA	21000	1000
rdrp	    460.23	   ACK	22000	0
 drp	    460.27	  DATA	15000	1000
 snd	    460.31	   ACK	22000	0
fdrp	    460.35	  DATA	16000	1000
fdrp	    460.39	  DATA	17000	1000
fdrp	    460.43	  DATA	18000	1000
fdrp	    460.47	  DATA	19000	1000
 drp	    460.51	  DATA	20000	1000
 snd	    460.54	   ACK	22000	0
fdrp	    460.59	  DATA	21000	1000
fdrp	    460.62	  DATA	15000	1000
fdrp	    460.67	  DATA	21000	1000
fdrp	    460.71	  DATA	21000	1000
 drp	    460.75	  DATA	21000	1000
rdrp	    460.79	   ACK	22000	0
fdrp	    460.84	  DATA	21000	1000
fdrp	    460.88	  DATA	22000	1000
 rcv	    460.92	  DATA	23000	1000
 snd	    460.95	   ACK	22000	0
 rcv	    460.99	  DATA	24000	1000
 snd	    461.03	   ACK	22000	0
fdrp	    461.07	  DATA	25000	1000
 rcv	    461.11	  DATA	26000	1000
rdrp	    461.14	   ACK	22000	0
 rcv	    461.17	  DATA	27000	1000
 snd	    461.21	   ACK	22000	0
 drp	    461.25	  DATA	21000	1000
 snd	    461.28	   ACK	22000	0
 rcv	    461.32	  DATA	22000	1000
 snd	    461.36	   ACK	25000	0
fdrp	    461.40	  DATA	23000	1000
 drp	    461.43	  DATA	24000	1000
rdrp	    461.46	   ACK	25000	0
fdrp	    461.50	  DATA	25000	1000
fdrp	    461.53	  DATA	26000	1000
 drp	    461.57	  DATA	22000	1000
 snd	    461.60	   ACK	25000	0
 drp	    461.64	  DATA	23000	1000
rdrp	    461.68	   ACK	25000	0
fdrp	    462.17	  DATA	22000	1000
 drp	    462.39	  DATA	22000	1000
 snd	    462.50	   ACK	25000	0
fdrp	    462.62	  DATA	23000	1000
fdrp	    462.72	  DATA	22000	1000
fdrp	    462.92	  DATA	22000	1000
 drp	    463.27	  DATA	22000	1000
rdrp	    463.37	   ACK	25000	0
fdrp	    463.48	  DATA	23000	1000
 rcv	    463.95	  DATA	25000	1000
rdrp	    464.06	   ACK	28000	0
 drp	    464.12	  DATA	26000	1000
rdrp	    464.15	   ACK	28000	0
 drp	    464.20	  DATA	27000	1000
 snd	    464.23	   ACK	28000	0
fdrp	    464.27	  DATA	28000	1000
fdrp	    464.31	  DATA	29000	1000
 rcv	    464.35	  DATA	30000	1000
rdrp	    464.38	   ACK	28000	0
 rcv	    464.41	  DATA	31000	1000
rdrp	    464.44	   ACK	28000	0
fdrp	    464.48	  DATA	25000	1000
 drp	    464.51	  DATA	26000	1000
 snd	    464.54	   ACK	28000	0
 drp	    464.58	  DATA	27000	1000
rdrp	    464.61	   ACK	28000	0
fdrp	    464.64	  DATA	28000	1000
 rcv	    464.68	  DATA	29000	1000
rdrp	    464.70	   ACK	28000	0
fdrp	    464.81	  DATA	30000	1000
fdrp	    464.91	  DATA	31000	1000
fdrp	    464.99	  DATA	25000	1000
 drp	    465.07	  DATA	26000	1000
 snd	    465.13	   ACK	28000	0
 drp	    465.30	  DATA	27000	1000
 snd	    465.53	   ACK	28000	0
fdrp	    465.60	  DATA	28000	1000
fdrp	    465.65	  DATA	29000	1000
 drp	    465.71	  DATA	30000	1000
rdrp	    465.77	   ACK	28000	0
 drp	    465.82	  DATA	31000	1000
rdrp	    465.86	   ACK	28000	0
 rcv	    465.90	  DATA	32000	1000
 snd	    465.93	   ACK	28000	0
fdrp	    465.97	  DATA	33000	1000
fdrp	    466.00	  DATA	34000	1000
 rcv	    466.04	  DATA	28000	1000
 snd	    466.07	   ACK	33000	0
fdrp	    466.11	  DATA	29000	1000
fdrp	    466.14	  DATA	30000	1000
 drp	    466.17	  DATA	31000	1000
rdrp	    466.20	   ACK	33000	0
 drp	    466.24	  DATA	32000	1000
 snd	    466.26	   ACK	33000	0
fdrp	    466.30	  DATA	33000	1000
 rcv	    466.34	  DATA	34000	1000
 snd	    466.36	   ACK	33000	0
fdrp	    466.40	  DATA	28000	1000
fdrp	    466.43	  DATA	29000	1000
fdrp	    466.46	  DATA	30000	1000
fdrp	    466.49	  DATA	31000	1000
 drp	    466.53	  DATA	32000	1000
 snd	    466.56	   ACK	33000	0
fdrp	    466.60	  DATA	33000	1000
 drp	    466.63	  DATA	34000	1000
 snd	    466.66	   ACK	33000	0
fdrp	    466.73	  DATA	28000	1000
fdrp	    466.77	  DATA	29000	1000
fdrp	    466.81	  DATA	30000	1000
fdrp	    466.84	  DATA	31000	1000
fdrp	    466.87	  DATA	32000	1000
 rcv	    466.90	  DATA	33000	1000
 snd	    466.93	   ACK	35000	0
 drp	    467.01	  DATA	34000	1000
rdrp	    467.04	   ACK	35000	0
fdrp	    467.08	  DATA	28000	1000
fdrp	    467.11	  DATA	29000	1000
 drp	    467.35	  DATA	30000	1000
rdrp	    467.46	   ACK	35000	0
fdrp	    467.54	  DATA	31000	1000
fdrp	    467.61	  DATA	32000	1000
fdrp	    467.69	  DATA	33000	1000
fdrp	    467.76	  DATA	34000	1000
