 snd	    459.73	  DATA	21000	1000
 snd	    459.83	  DATA	15000	1000
 snd	    459.92	  DATA	16000	1000
 snd	    460.01	  DATA	17000	1000
 snd	    460.09	  DATA	18000	1000
 rcv	    460.42	   ACK	15000	0
 snd	    460.25	  DATA	19000	1000
 snd	    460.53	  DATA	15000	1000
 snd	    460.60	  DATA	16000	1000
 snd	    460.64	  DATA	15000	1000
 snd	    460.69	  DATA	16000	1000
 snd	    460.74	  DATA	17000	1000
 snd	    460.78	  DATA	18000	1000
 rcv	    460.64	   ACK	15000	0
 rcv	    460.96	   ACK	15000	0
 rcv	    461.05	   ACK	15000	0
 snd	    460.83	  DATA	19000	1000
 snd	    461.16	  DATA	15000	1000
 snd	    461.21	  DATA	16000	1000
 snd	    461.25	  DATA	17000	1000
 snd	    461.28	  DATA	18000	1000
 snd	    461.32	  DATA	19000	1000
 snd	    461.36	  DATA	20000	1000
 snd	    461.40	  DATA	21000	1000
 snd	    461.44	  DATA	15000	1000
 snd	    461.47	  DATA	16000	1000
 snd	    461.51	  DATA	17000	1000
 snd	    461.54	  DATA	18000	1000
 snd	    461.58	  DATA	19000	1000
 snd	    461.62	  DATA	20000	1000
 snd	    461.65	  DATA	21000	1000
 snd	    461.69	  DATA	15000	1000
 snd	    461.73	  DATA	16000	1000
 snd	    461.76	  DATA	17000	1000
 snd	    461.80	  DATA	18000	1000
 snd	    461.84	  DATA	19000	1000
 snd	    461.87	  DATA	20000	1000
 snd	    461.91	  DATA	21000	1000
 snd	    461.96	  DATA	15000	1000
 snd	    462.00	  DATA	16000	1000
 snd	    462.04	  DATA	17000	1000
 snd	    462.07	  DATA	18000	1000
 snd	    462.11	  DATA	19000	1000
 snd	    462.14	  DATA	20000	1000
 snd	    462.18	  DATA	21000	1000
 snd	    462.22	  DATA	15000	1000
 snd	    462.25	  DATA	16000	1000
 snd	    462.29	  DATA	17000	1000
 snd	    462.32	  DATA	18000	1000
 snd	    462.36	  DATA	19000	1000
 snd	    462.39	  DATA	20000	1000
 snd	    462.43	  DATA	21000	1000
 snd	    462.47	  DATA	15000	1000
 snd	    462.51	  DATA	16000	1000
 snd	    462.55	  DATA	17000	1000
 snd	    462.58	  DATA	18000	1000
 snd	    462.62	  DATA	19000	1000
 snd	    462.66	  DATA	20000	1000
 snd	    462.69	  DATA	21000	1000
 snd	    462.72	  DATA	15000	1000
 snd	    462.76	  DATA	16000	1000
 snd	    462.80	  DATA	17000	1000
 snd	    462.84	  DATA	18000	1000
 snd	    462.87	  DATA	19000	1000
 snd	    462.91	  DATA	20000	1000
 snd	    462.94	  DATA	21000	1000
 snd	    462.98	  DATA	15000	1000
 snd	    463.01	  DATA	16000	1000
 snd	    463.05	  DATA	17000	1000
 snd	    463.08	  DATA	18000	1000
 snd	    463.12	  DATA	19000	1000
 snd	    463.16	  DATA	20000	1000
 snd	    463.20	  DATA	21000	1000
 snd	    463.24	  DATA	15000	1000
 snd	    463.27	  DATA	16000	1000
 snd	    463.31	  DATA	17000	1000
 snd	    463.35	  DATA	18000	1000
 snd	    463.38	  DATA	19000	1000
 snd	    463.42	  DATA	20000	1000
 snd	    463.45	  DATA	21000	1000
 snd	    463.49	  DATA	15000	1000
 snd	    463.52	  DATA	16000	1000
 snd	    463.56	  DATA	17000	1000
 snd	    463.60	  DATA	18000	1000
 snd	    463.63	  DATA	19000	1000
 snd	    463.67	  DATA	20000	1000
 rcv	    463.63	   ACK	15000	0
 rcv	    464.44	   ACK	15000	0
 snd	    463.71	  DATA	21000	1000
 rcv	    464.73	   ACK	21000	0
 snd	    464.52	  DATA	15000	1000
 snd	    464.94	  DATA	21000	1000
 snd	    465.02	  DATA	21000	1000
 rcv	    464.98	   ACK	21000	0
 snd	    465.07	  DATA	21000	1000
 snd	    465.23	  DATA	21000	1000
 rcv	    465.18	   ACK	21000	0
 snd	    465.28	  DATA	22000	1000
 snd	    465.34	  DATA	23000	1000
 snd	    465.38	  DATA	24000	1000
 snd	    465.42	  DATA	25000	1000
 snd	    465.46	  DATA	26000	1000
 snd	    465.57	  DATA	27000	1000
 snd	    465.62	  DATA	21000	1000
 snd	    465.65	  DATA	22000	1000
 snd	    465.72	  DATA	23000	1000
 snd	    465.77	  DATA	24000	1000
 rcv	    465.73	   ACK	21000	0
 snd	    465.81	  DATA	25000	1000
 rcv	    466.04	   ACK	21000	0
 rcv	    466.20	   ACK	21000	0
 rcv	    466.34	   ACK	21000	0
 rcv	    466.50	   ACK	21000	0
 rcv	    466.66	   ACK	22000	0
 rcv	    466.81	   ACK	22000	0
